ID Industry Group,Industry Group,ID Year,Year,ID Workforce Status,Workforce Status,Average Wage,Average Wage Appx MOE,Record Count,Slug Industry Group
"111","Farming",2018,"2018","true","true",34777.379467103274,1123.2463306955701,9139,"farming"
"112","Animal production & aquaculture",2018,"2018","true","true",36056.15665512561,1742.0855654318314,4752,"animal-production-aquaculture"
"1133","Logging",2018,"2018","true","true",40978.44128123199,3594.700491798613,876,"logging"
"113M","Forestry except logging",2018,"2018","true","true",53318.24607672188,3602.6075065868417,494,"forestry-except-logging"
"114","Fishing, hunting & trapping",2018,"2018","true","true",43020.80523670658,6645.46017527746,337,"fishing-hunting-trapping"
"115","Support activities for agriculture & forestry",2018,"2018","true","true",33575.36450757311,1988.0281595351846,1400,"support-activities-for-agriculture-forestry"
"211","Oil & gas extraction",2018,"2018","true","true",118903.14237671685,7423.160023415477,1285,"oil-gas-extraction"
"2121","Coal mining",2018,"2018","true","true",78023.73818689797,4897.844902312367,693,"coal-mining"
"2122","Metal ore mining",2018,"2018","true","true",80259.59109900091,6282.784232469528,435,"metal-ore-mining"
"2123","Nonmetallic mineral mining & quarrying",2018,"2018","true","true",58894.73705834018,3117.5982999660796,1135,"nonmetallic-mineral-mining-quarrying"
"213","Support activities for mining",2018,"2018","true","true",83133.07327130153,2777.149147422591,4024,"support-activities-for-mining"
"23","Construction",2018,"2018","true","true",53122.591921624284,414.87951581522253,81206,"construction-23"
"3113","Sugar & confectionery products",2018,"2018","true","true",54437.72794703473,4919.408678143086,830,"sugar-confectionery-products"
"3114","Fruit & vegetable preserving & specialty food manufacturing",2018,"2018","true","true",49915.335373680784,3468.8686545499377,1461,"fruit-vegetable-preserving-specialty-food-manufacturing"
"3115","Dairy product manufacturing",2018,"2018","true","true",52973.730733241006,2694.78570026969,1716,"dairy-product-manufacturing"
"3116","Animal slaughtering & processing",2018,"2018","true","true",38981.9052036727,1343.1799677654744,4128,"animal-slaughtering-processing"
"311811","Retail bakeries",2018,"2018","true","true",24831.436904440645,1489.3000349073473,1478,"retail-bakeries"
"3118Z","Bakeries & tortilla manufacturing, except retail bakeries",2018,"2018","true","true",43675.789942970725,2445.156755015471,1796,"bakeries-tortilla-manufacturing-except-retail-bakeries"
"311M1","Animal food, grain & oilseed milling",2018,"2018","true","true",61242.47633723637,3651.096418965979,1780,"animal-food-grain-oilseed-milling"
"311M2","Seafood & other miscellaneous foods, n.e.c. ",2018,"2018","true","true",54234.677504226944,3103.0159472484797,2219,"seafood-other-miscellaneous-foods-nec-"
